Event,Timestamp,Result,Type,Pass Outcome,Shot outcome,Pressure,Player Name,Shirt Number,Team Name,Start Position X,Start Position Y,Foot used,Receiver Name,Receiver Shirt Number,End Position X,End Position Y,Defensive Action,Side,Distribution,Goal Location,Booking,Game_State,length_x,length_y,length_euclidean,angle_degrees,direction
Duel,00:43:12:950,Won,Ground,-,-,-,Huib Alberts,15,Den Bosch O17,94,83,-,-,-,-,-,-,-,-,-,-,-,,,,,
Duel,00:43:12:950,Lost,Ground,-,-,-,Elvi,9,Helmond Sport O17,94,83,-,-,-,-,-,-,-,-,-,-,-,,,,,
Defensive Action,00:43:12:990,Successful,-,-,-,-,Huib Alberts,15,Den Bosch O17,94,83,-,-,-,-,-,Interception,-,-,-,-,-,,,,,
Pass,00:43:13:050,Successful,Basic,-,-,High,Huib Alberts,15,Den Bosch O17,93,85,-,Keyane Ait Bahmad,14,89,90,-,-,-,-,-,-,-4,5,6,128.7,lateral
Pass,00:43:17:170,Successful,Basic,-,-,High,Keyane Ait Bahmad,14,Den Bosch O17,92,95,-,Thijs Mendonca,22,86,93,-,-,-,-,-,-,-6,-2,6,-161.6,backward
Pass,00:43:20:340,Successful,Basic,-,-,High,Thijs Mendonca,22,Den Bosch O17,86,85,-,Luc Lombo,18,74,60,-,-,-,-,-,-,-12,-25,28,-115.6,lateral
Pass,00:43:22:940,Successful,Basic,-,-,High,Luc Lombo,18,Den Bosch O17,75,60,-,Jasper Riemersma,3,77,52,-,-,-,-,-,-,2,-8,8,-76.0,lateral
Pass,00:43:24:650,Unsuccessful,Basic,-,-,Medium,Jasper Riemersma,3,Den Bosch O17,77,48,-,-,-,-,-,-,-,-,-,-,-,-100,-100,-100,-100.0,-
Defensive Action,00:43:27:230,Successful,-,-,-,-,Rayen S.,6,Helmond Sport O17,70,21,-,-,-,-,-,Interception,-,-,-,-,-,,,,,
Pass,00:43:33:860,Successful,Basic,-,-,High,Rayen S.,6,Helmond Sport O17,83,4,-,Wessel,4,58,11,-,-,-,-,-,-,-25,7,26,164.4,backward
Pass,00:43:37:220,Successful,Basic,-,-,Medium,Wessel,4,Helmond Sport O17,62,11,-,Rayen S.,6,73,6,-,-,-,-,-,-,11,-5,12,-24.4,forward
Attacking Third Entry,00:43:38:290,-,-,-,-,-,Rayen S.,6,Helmond Sport O17,73,7,-,-,-,-,-,-,Left,-,-,-,-,,,,,
Pass,00:43:40:040,Successful,Basic,-,-,High,Rayen S.,6,Helmond Sport O17,74,5,-,Kaan,5,79,6,-,-,-,-,-,-,5,1,5,11.3,forward
Pass,00:43:42:650,Successful,Basic,-,-,High,Kaan,5,Helmond Sport O17,86,5,-,Berk,18,81,27,-,-,-,-,-,-,-5,22,23,102.8,lateral
Penalty Box Entries,00:43:45:110,-,-,-,-,-,Berk,18,Helmond Sport O17,84,26,-,-,-,-,-,-,Left,-,-,-,-,,,,,
