Event,Timestamp,Result,Type,Pass Outcome,Shot outcome,Pressure,Player Name,Shirt Number,Team Name,Start Position X,Start Position Y,Foot used,Receiver Name,Receiver Shirt Number,End Position X,End Position Y,Defensive Action,Side,Distribution,Goal Location,Booking,Game_State
Defensive Action,01:32:39:080,Unsuccessful,-,-,-,-,Ilias,2,FC Emmen O19,89,40,-,-,-,-,-,Tackle,-,-,-,-,-
Defensive Action,01:32:42:220,Successful,-,-,-,-,Huub,8,FC Emmen O19,86,50,-,-,-,-,-,Tackle,-,-,-,-,-
Defensive Action,01:32:43:390,Successful,-,-,-,-,Raff,3,FC Emmen O19,88,53,-,-,-,-,-,Clearance,-,-,-,-,-
Pass,01:32:46:740,Successful,Basic,Regular,-,Medium,Noach Shenkman,6,AFC O19,68,46,-,Tristan Harrevelt,14,66,76,-,-,-,-,-,-
Attacking Third Entry,01:32:55:170,-,-,-,-,-,Tristan Harrevelt,14,AFC O19,74,87,-,-,-,-,-,-,Right,-,-,-,-
Lost Possession,01:33:01:690,-,-,-,-,-,Tristan Harrevelt,14,AFC O19,92,95,-,-,-,-,-,-,-,-,-,-,-
Pass,01:33:06:400,Unsuccessful,Throw-in,Regular,-,Low,Enzo,5,FC Emmen O19,93,96,-,-,-,-,-,-,-,-,-,-,-
Duel,01:33:08:140,Won,Air,-,-,-,Nicolai de Kort,15,AFC O19,77,73,-,-,-,-,-,-,-,-,-,-,-
Duel,01:33:08:140,Lost,Air,-,-,-,Daan,21,FC Emmen O19,77,73,-,-,-,-,-,-,-,-,-,-,-
Defensive Action,01:33:08:180,Successful,-,-,-,-,Nicolai de Kort,15,AFC O19,77,73,-,-,-,-,-,Interception,-,-,-,-,-
Pass,01:33:08:270,Unsuccessful,Basic,Regular,-,High,Nicolai de Kort,15,AFC O19,78,73,-,-,-,-,-,-,-,-,-,-,-
Defensive Action,01:33:09:920,Successful,-,-,-,-,Rinse,16,FC Emmen O19,82,71,-,-,-,-,-,Interception,-,-,-,-,-
Pass,01:33:10:040,Unsuccessful,Basic,Regular,-,Medium,Rinse,16,FC Emmen O19,81,73,-,-,-,-,-,-,-,-,-,-,-
Defensive Action,01:33:13:990,Unsuccessful,-,-,-,-,Tristan Harrevelt,14,AFC O19,76,93,-,-,-,-,-,Interception,-,-,-,-,-
Pass,01:33:22:430,Successful,Throw-in,Regular,-,Low,Enzo,5,FC Emmen O19,74,95,-,Remiyan,9,49,83,-,-,-,-,-,-
Defensive Action,01:33:24:820,Successful,-,-,-,-,Nicolai de Kort,15,AFC O19,52,77,-,-,-,-,-,Tackle,-,-,-,-,-
Pass,01:33:24:860,Successful,Basic,Regular,-,High,Nicolai de Kort,15,AFC O19,51,76,-,Noach Shenkman,6,48,69,-,-,-,-,-,-
